texto_estandar,fecha_detectada,lugar,longitud_tokens,verbo_principal,cambios,es_ambiguo,es_fecha_default,id_original
Hacer mi oración.,2026-02-21T00:00:00,,4,Hacer,[],False,True,230
Participar en el voluntariado,2026-02-21T00:00:00,,5,Participar,[],False,True,231
Solicitar servicio en comunidad,2026-03-21T15:00:00,,5,Solicitar,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha explícita']",False,False,232
Agendar sesión de visita a un lugar tranquilo.,2026-03-07T10:30:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de la referencia temporal ambigua y ajuste a fecha específica']",False,False,233
Agendar sesión de breathwork el 2026-02-24T12:00:00.,2026-02-24T12:00:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información sobre el cambio de fecha']",False,False,234
Realizar meditación guiada a las 8:30,2026-02-19T08:30:00,,7,Realizar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la fecha según referencia temporal']",False,False,235
Agendar círculo de reflexión.,2026-03-21T20:00:00,,5,Agendar,"['Se eliminó la ambigüedad y se simplificó la frase.', 'Se extrajo la fecha y hora específica.']",False,False,236
Realizar gratitud y journaling espiritual.,2026-03-21T11:00:00,,7,Realizar,['Se eliminó la referencia temporal ambigua y se ajustó a una instrucción clara.'],False,False,237
Agendar salida de servicio en comunidad a las 9:00 por 30 minutos.,2026-02-23T09:00:00,comunidad,15,Agendar,"['Reformulación de la frase para mayor claridad', ""Extracción del lugar 'comunidad'"", 'Especificación de la hora y duración']",False,False,238
Asistir al círculo de reflexión el martes a las 09:30.,2026-02-21T09:30:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', ""Cambio de 'nomas' a 'Asistir'""]",False,False,239
Dar de desayunar a los perros.,2026-02-21T00:00:00,,6,Dar,[],False,True,240
Dar de comer al perro.,2026-02-21T00:00:00,,5,Dar,[],False,True,241
Dar su medicamento al perro.,2026-02-21T00:00:00,,7,Dar,[],False,True,242
Sacar a pasear al perro,2026-02-21T00:00:00,,6,Sacar,[],False,True,243
Ir a comer con mis papás,2026-02-21T00:00:00,,6,Ir,[],False,True,244
Ayudar a mi hermano con su tarea,2026-02-21T00:00:00,,8,Ayudar,[],False,True,245
Visitar a los abuelos,2026-02-21T00:00:00,,5,Visitar,[],False,True,246
Realizar seguimiento veterinario,2026-02-21T00:00:00,,4,Realizar,[],False,True,247
Realizar desparasitacion en el veterinario,2026-02-21T00:00:00,veterinario,7,Realizar,[],False,True,248
Decidir sobre las croquetas.,2026-02-21T00:00:00,,5,Decidir,['Reformulación para mayor claridad'],False,True,249
Reflexionar sobre la llamada a la familia.,2026-02-21T00:00:00,,8,Reflexionar,[],False,True,250
Investigar sobre desparasitacion.,2026-02-21T00:00:00,,5,Investigar,"[""Reformulación de 'tema por investigar' a 'Investigar sobre'""]",False,True,251
Entregar al veterinario,2026-02-21T00:00:00,,4,Entregar,[],False,True,252
Hacer seguimiento de las croquetas.,2026-02-21T00:00:00,,6,Hacer,['Reformulación para mayor claridad'],False,True,253
Visitar croquetas.,2026-02-21T00:00:00,,3,Visitar,[],False,True,254
Depurar la comida familiar y dar seguimiento.,2026-02-21T00:00:00,,10,Depurar,[],False,True,255
Configurar una llamada a la familia.,2026-02-21T00:00:00,,7,Configurar,[],False,True,256
Depurar un veterinario,2026-02-21T00:00:00,,4,Depurar,['Reformulación para mayor claridad'],True,True,257
Actualizar las croquetas.,2026-02-21T00:00:00,,4,Actualizar,"[""Se agregó el artículo 'las' para mayor claridad.""]",False,True,258
Hacer croquetas en Notion,2026-02-21T00:00:00,,5,Hacer,"[""Reformulación de 'hacer una croquetas' a 'Hacer croquetas'""]",False,True,259
Documentar una llamada a la familia.,2026-02-21T00:00:00,,8,Documentar,['Se ajustó la frase para mayor claridad y naturalidad.'],False,True,260
Agendar cita para croquetas.,2026-02-21T00:00:00,,6,Agendar,[],False,True,261
Organizar la comida familiar en Notion,2026-02-21T00:00:00,,8,Organizar,[],False,True,262
Agendar cita con la familia para comer.,2026-02-21T00:00:00,,10,Agendar,['Reformulación para mayor claridad y naturalidad.'],False,True,263
Armar la desparasitacion.,2026-02-21T00:00:00,,5,Armar,[],False,True,264
Limpiar después de la comida familiar,2026-02-21T00:00:00,,7,Limpiar,"['Reformulación para mayor claridad', ""Ajuste de la acción a 'Limpiar después de la comida familiar'""]",False,True,265
Agendar una junta con el veterinario,2026-02-21T00:00:00,,7,Agendar,['Reformulación para mayor claridad y naturalidad'],False,True,266
Cenar con la familia a las 21:30,2026-02-22T21:30:00,,7,Cenar,"[""Reformulación de 'super rapido o sea cena con familia este miercoles a las 9:30' a una instrucción clara y ejecutable.""]",False,False,267
Verificar el cumpleaños de un familiar.,2026-03-21T21:00:00,,8,Verificar,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora']",False,False,268
Agendar cita de cena con la familia,2026-02-20T20:00:00,,8,Agendar,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora']",False,False,269
Agendar clase de reunión familiar el 2027-08-02 a las 10:30.,2027-08-02T10:30:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante sobre duración']",False,False,270
Visitar a mi mamá el 2027-02-08 a las 18:30.,2027-02-08T18:30:00,casa de mi mamá,10,Visitar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la hora a formato de 24 horas']",False,False,271
Visitar a casa de mi mamá el 2023-11-03T18:00:00.,2023-11-03T18:00:00,casa de mi mamá,12,Visitar,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora específica']",False,False,272
Agendar comida familiar,2026-04-27T19:30:00,,4,Agendar,['Se eliminó la referencia a la duración de 1 hr ya que no es necesaria para la acción ejecutable.'],False,False,273
Pagar la tarjeta,2026-02-21T00:00:00,,4,Pagar,[],False,True,274
Pagar el recibo de luz.,2026-02-21T00:00:00,,6,Pagar,[],False,True,275
Pagar el mantenimiento del conjunto habitacional.,2026-02-21T00:00:00,conjunto habitacional,9,Pagar,"[""Se agregó 'el' antes de 'mantenimiento' para mayor claridad."", ""Se ajustó 'de conjunto habitacional' a 'del conjunto habitacional'.""]",False,True,276
Revisar el saldo de ahorro,2026-02-21T00:00:00,,6,Revisar,[],False,True,277
Subir las facturas al SAT.,2026-02-21T00:00:00,,7,Subir,"[""Agregado artículo 'las' antes de 'facturas'"", 'Reformulada la frase para mayor claridad']",False,True,278
Agendar el pago de servicios.,2026-02-21T00:00:00,,30,Agendar,"[""Se eliminó 'y archivar' para mayor claridad.""]",False,True,279
Iniciar un ahorro.,2026-02-21T00:00:00,,4,Iniciar,[],False,True,280
Preparar el ahorro y dar seguimiento.,2026-02-21T00:00:00,,10,Preparar,[],False,True,281
Llamar para revisar mis finanzas.,2026-01-01T00:00:00,,7,Llamar,['Reformulación de la frase para mayor claridad.'],False,False,282
Realizar una transferencia bancaria.,2026-02-21T00:00:00,,5,Realizar,[],False,True,283
Entregar mis finanzas.,2026-01-01T00:00:00,,4,Entregar,['Reformulación para claridad y naturalidad'],False,False,284
Guardar un pago de servicios.,2026-02-21T00:00:00,,6,Guardar,[],False,True,285
Etiquetar las facturas en Notion,2026-02-21T00:00:00,Notion,7,Etiquetar,"[""Se agregó el artículo 'las' para mayor claridad.""]",False,True,286
Renovar la tarjeta de crédito.,2026-02-21T00:00:00,,5,Renovar,[],False,True,287
Agendar cita para pago de servicios.,2026-02-21T00:00:00,,8,Agendar,['Reformulación para mayor claridad y naturalidad.'],False,True,288
Documentar mis impuestos con el checklist.,2026-02-21T00:00:00,,10,Documentar,[],False,True,289
Revisar el presupuesto mensual,2026-02-21T00:00:00,,5,Revisar,[],False,True,290
Cancelar el fondo de emergencia.,2026-02-21T00:00:00,,6,Cancelar,"[""Se eliminó 'mi' para mayor claridad."", 'Se ajustó la estructura para que suene más natural.']",False,True,291
Revisar suscripciones,2026-02-21T00:00:00,,3,Revisar,[],False,True,292
Revisar el fondo de emergencia,2026-02-21T00:00:00,,5,Revisar,[],False,True,293
Editar la transferencia bancaria.,2026-02-21T00:00:00,,5,Editar,[],False,True,294
Cerrar la suscripción en Notion,2026-02-21T00:00:00,,7,Cerrar,['Reformulación para mayor claridad y naturalidad'],False,True,295
Anotar el ahorro utilizando un checklist.,2026-02-21T00:00:00,,10,Anotar,['Reformulación para mayor claridad y naturalidad.'],False,True,296
Revisar opciones para el pago de servicios.,2026-02-21T00:00:00,,10,Revisar,"[""Se agregó el artículo 'el' para mayor claridad.""]",False,True,297
Realizar una transferencia bancaria.,2026-02-21T00:00:00,,5,Realizar,[],False,True,298
Cerrar la tarjeta de crédito.,2026-02-21T00:00:00,,6,Cerrar,"[""Se eliminó 'esta semana' para mayor claridad.""]",False,True,299
Decidir el presupuesto de viaje,2026-02-21T00:00:00,,6,Decidir,['Reformulación de la frase para mayor claridad'],False,True,300
Confirmar la transferencia bancaria en Notion,2026-02-21T00:00:00,Notion,8,Confirmar,[],False,True,301
Hacer una inversión en CETES.,2026-02-21T00:00:00,,6,Hacer,['Reformulación para mayor claridad y naturalidad.'],False,True,302
Etiquetar el seguro de viaje en Notion,2026-02-21T00:00:00,Notion,8,Etiquetar,"['Reformulación para mayor claridad', ""Extracción del lugar 'Notion'""]",False,True,303
Respaldar el presupuesto mensual,2026-02-21T00:00:00,,5,Respaldar,[],False,True,304
Entregar impuestos,2026-02-21T00:00:00,,3,Entregar,[],False,True,305
Iniciar transferencia bancaria.,2026-02-21T00:00:00,,4,Iniciar,[],False,True,306
Documentar el presupuesto de viaje.,2026-02-21T00:00:00,,6,Documentar,[],False,True,307
Definir las facturas.,2026-02-21T00:00:00,,5,Definir,[],False,True,308
Realizar seguimiento del estado de cuenta.,2026-02-21T00:00:00,,7,Realizar,[],False,True,309
Realizar una transferencia bancaria.,2026-02-21T00:00:00,,5,Realizar,[],False,True,310
Revisar el estado de cuenta,2026-02-21T00:00:00,,5,Revisar,[],False,True,311
Visitar el presupuesto mensual.,2026-02-21T00:00:00,,5,Visitar,['Reformulación para mayor claridad y naturalidad.'],False,True,312
Llenar un ahorro antes de las 18:00:00.,2026-02-21T00:00:00,,8,Llenar,['Ajustar la hora a formato 24 horas.'],False,True,313
Definir mis finanzas,2026-01-01T00:00:00,,4,Definir,[],False,False,314
Investigar el estado de cuenta.,2026-02-21T00:00:00,,6,Investigar,['Reformulación para mayor claridad y naturalidad.'],False,True,315
Revisar mis finanzas.,2026-02-21T00:00:00,,4,Revisar,['Se eliminó la ambigüedad y se formuló como una acción clara.'],False,True,316
Planear la transferencia bancaria y dejar evidencia.,2026-02-21T00:00:00,,10,Planear,[],False,True,317
Llamar a mi tarjeta de crédito en Notion,2026-02-21T00:00:00,Notion,10,Llamar,['Reformulación para mayor claridad y naturalidad'],False,True,318
Reflexionar sobre el pago de servicios,2026-02-21T00:00:00,,7,Reflexionar,[],False,True,319
Investigar sobre mis finanzas.,2026-02-21T00:00:00,,5,Investigar,['Reformulación de la frase para mayor claridad.'],False,True,320
Agendar junta con fondo de emergencia,2026-02-21T00:00:00,,7,Agendar,[],False,True,321
Reflexionar sobre las comisiones.,2026-02-21T00:00:00,,5,Reflexionar,[],False,True,322
Solicitar la salida del seguro de viaje.,2026-02-21T00:00:00,,8,Solicitar,[],False,True,323
Revisar suscripciones el 2026-03-16 a las 11:00,2026-03-16T11:00:00,,10,Revisar,"[""Eliminación de 'ehm rapido' y '30 min' para mayor claridad.""]",False,False,324
Revisar el presupuesto mensual,2026-05-23T14:00:00,,5,Revisar,"[""Eliminada la expresión 'nomas para que no se te vaya tipo'"", 'Ajustada la frase para que sea clara y ejecutable']",False,False,325
Asistir a la clase de pago de seguro el sábado a las 11:00.,2026-02-25T11:00:00,,15,Asistir,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False,326
Revisar la clase de pago de luz,2026-02-19T10:00:00,,7,Revisar,"[""Se eliminó 'mira por fa' para hacer la instrucción más clara y directa."", 'Se ajustó la fecha y hora a un formato estándar.']",False,False,327
Realizar el pago de internet el 2026-02-19 a las 17:00.,2026-02-19T17:00:00,,12,Realizar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante sobre el 3 de agosto']",False,False,328
Cortar la tarjeta el 2026-12-29 a las 14:00.,2026-12-29T14:00:00,,10,Cortar,"[""Se eliminó la referencia a 'super rápido' para mayor claridad."", 'Se ajustó la estructura para que sea más natural.']",False,False,329
Revisar suscripciones a las 12:00,2026-02-21T12:00:00,,6,Revisar,"[""Se eliminó 'mira tipo' para mayor claridad"", 'Se ajustó la estructura para que sea más natural']",False,False,330
Agendar mi rutina de domingo.,2026-02-21T00:00:00,,6,Agendar,"[""Reformulación de 'cita mi rutina de domingo' a 'Agendar mi rutina de domingo.'""]",False,True,331
Decidir sobre el café.,2026-02-21T00:00:00,,5,Decidir,['Reformulación de la frase para mayor claridad.'],False,True,332
Crear un mapa.,2026-02-21T00:00:00,,4,Crear,[],False,True,333
Cerrar el mapa y confirmar recepción.,2026-02-21T00:00:00,,10,Cerrar,[],False,True,334
Preparar brunch,2026-02-21T00:00:00,,2,Preparar,[],False,True,335
Iniciar sesión de mi rutina de domingo,2026-02-21T00:00:00,,7,Iniciar,['Reformulación para mayor claridad'],False,True,336
Revisar durante el brunch,2026-02-21T00:00:00,,5,Revisar,['Se ajustó la frase para que sea más clara y ejecutable.'],False,True,337
Crear un mapa.,2026-02-21T00:00:00,,4,Crear,[],False,True,338
Configurar el brunch,2026-02-21T00:00:00,,4,Configurar,['Reformulación para mayor claridad'],False,True,339
Reflexionar sobre la rutina del domingo,2026-02-21T00:00:00,,7,Reflexionar,['Reformulación para mayor claridad'],False,True,340
Asistir a la clase de mapa.,2026-02-21T00:00:00,,7,Asistir,[],False,True,341
Asistir a la clase de tarde de museo.,2026-02-21T13:00:00,museo,8,Asistir,"['Reformulación de la frase para mayor claridad', ""Extracción del lugar 'museo'""]",False,False,342
Revisar sesión de cine el 2026-02-24 a las 15:00,2026-02-24T15:00:00,,10,Revisar,"['Reformulación de la frase para mayor claridad', 'Incorporación de la fecha y hora exacta']",False,False,343
Agendar sesión de paseo al parque.,2027-10-12T08:30:00,parque,8,Agendar,"[""Eliminada la referencia a 'nomas para que no se te vaya'."", 'Reformulada la frase para mayor claridad.']",False,False,344
Asistir a la tarde de pintura el 2026-12-27 a las 19:30.,2026-12-27T19:30:00,,15,Asistir,"['Reformulación de la frase para mayor claridad', 'Ajuste de la hora a formato de 24 horas']",False,False,345
Visitar el museo a las 10:30,2026-02-21T10:30:00,museo,7,Visitar,"['Reformulación de la frase para mayor claridad', ""Extracción del lugar 'museo'""]",False,False,346
Pasear al parque el 2026-03-21 a las 14:00,2026-03-21T14:00:00,parque,10,Pasear,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora']",False,False,347
Agendar cita de cine a las 9:00,2026-02-23T09:00:00,,7,Agendar,"['Reformulación de la frase para mayor claridad', ""Eliminación de '3 hrs' ya que no es necesario""]",False,False,348
Comprar un regalo de aniversario.,2026-02-21T00:00:00,,6,Comprar,[],False,True,349
Cenar con mi novio,2026-02-21T00:00:00,,4,Cenar,[],False,True,350
Hablar sobre los planes de mudanza.,2026-02-21T00:00:00,,7,Hablar,['Reformulación para mayor claridad.'],False,True,351
Celebrar el aniversario.,2026-02-21T00:00:00,,3,Celebrar,[],False,True,352
Agendar sesión con mi novio,2026-02-21T00:00:00,,6,Agendar,"[""Reformulación de 'sesion con date con mi novio' a 'Agendar sesión con mi novio'""]",False,True,353
Solicitar un aniversario y dejar evidencia.,2026-02-21T00:00:00,,10,Solicitar,[],False,True,354
Anotar el aniversario en el calendario,2026-02-21T00:00:00,,8,Anotar,[],False,True,355
Agendar una cita con mi novio,2026-02-21T00:00:00,,7,Agendar,"[""Reformulación de 'date con mi novio' a 'cita con mi novio'""]",False,True,356
Pasear este viernes a las 11:30.,2026-02-24T11:30:00,,7,Pasear,['Se eliminó la parte sobre el 20 de noviembre ya que no es relevante para la acción principal.'],False,False,357
Planear una sorpresa romántica para este jueves a las 19:30.,2026-02-23T19:30:00,,12,Planear,"['Reformulación de la frase para mayor claridad', 'Ajuste de la hora a formato de 24 horas']",False,False,358
Agendar cita de cena romántica a las 19:00,2026-02-21T19:00:00,,10,Agendar,"[""Reformulación de 'cita de cena romantica el martes a las 7:00 2 hrs' a 'Agendar cita de cena romántica a las 19:00'""]",False,False,359
Agendar una cita para date night a las 20:00,2026-02-25T20:00:00,,10,Agendar,"[""Reformulación de 'date night este sabado a las 8:00' a 'una cita para date night a las 20:00'""]",False,False,360
Planear una sorpresa romántica.,2027-05-27T09:00:00,,5,Planear,['Se eliminó la ambigüedad y se clarificó la acción.'],False,False,361
Agendar sesión de brunch en pareja,2026-03-31T14:00:00,,7,Agendar,"['Reformulación de la frase para claridad y ejecución', 'Eliminación de información redundante']",False,False,362
Entregar el paseo nocturno.,2026-02-25T21:00:00,,5,Entregar,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora']",False,False,363
Agendar brunch en pareja,2026-04-01T17:00:00,,5,Agendar,"[""Se eliminó la referencia a 'nomas para que no se te vaya rapido' para mayor claridad."", 'Se ajustó la frase para que sea más natural y ejecutable.']",False,False,364
Recordar la cita con el nutriologo.,2026-02-21T00:00:00,,8,Recordar,[],False,True,365
Tomar el medicamento del día.,2026-02-21T00:00:00,,7,Tomar,[],False,True,366
Preparar y desayunar algo nutritivo.,2026-02-21T00:00:00,,7,Preparar,[],False,True,367
Ir al gimnasio según la rutina.,2026-02-21T00:00:00,gimnasio,8,Ir,['Reformulación para mayor claridad'],False,True,368
Preparar el café de la mañana.,2026-02-21T00:00:00,,7,Preparar,[],False,True,369
Preparar la comida del día,2026-02-21T00:00:00,,6,Preparar,[],False,True,370
Ir al gimnasio según el plan semanal.,2026-02-21T00:00:00,gimnasio,10,Ir,['Reformulación para mayor claridad y naturalidad.'],False,True,371
Agendar una cita con el dentista.,2026-02-21T00:00:00,,8,Agendar,['Reformulación para mayor claridad y naturalidad.'],False,True,372
Comprar las vitaminas necesarias.,2026-02-21T00:00:00,,5,Comprar,[],False,True,373
Ir a la farmacia por medicamentos pendientes.,2026-02-21T00:00:00,farmacia,10,Ir,[],False,True,374
Anotar pendientes relacionados con vacunas.,2026-02-21T00:00:00,,7,Anotar,[],False,True,375
Programar una sesión de entrenamiento.,2026-02-21T00:00:00,,6,Programar,['Reformulación para mayor claridad y naturalidad.'],False,True,376
Preparar la ropa deportiva para el entrenamiento,2026-02-21T00:00:00,,10,Preparar,[],False,True,377
Organizar la rutina de skincare y dar seguimiento.,2026-02-21T00:00:00,,10,Organizar,[],False,True,378
Definir y organizar mi rutina de sueño.,2026-02-21T00:00:00,,8,Definir,['Reformulación para mayor claridad y naturalidad.'],False,True,379
Registrar suplementos y archivar comprobantes.,2026-02-21T00:00:00,,7,Registrar,[],False,True,380
Revisar y renovar los medicamentos necesarios.,2026-02-21T00:00:00,,8,Revisar,"[""Se agregó 'los' antes de 'medicamentos' para mayor claridad.""]",False,True,381
Evaluar cómo está funcionando mi rutina de sueño.,2026-02-21T00:00:00,,10,Evaluar,['Reformulación para mayor claridad y naturalidad.'],False,True,382
Confirmar la recepción de mis vitaminas.,2026-02-21T00:00:00,,8,Confirmar,['Reformulación para mayor claridad y naturalidad.'],False,True,383
Preparar ropa deportiva,2026-02-21T00:00:00,,4,Preparar,[],False,True,384
Anotar ideas para mejorar el descanso,2026-02-21T00:00:00,,10,Anotar,[],False,True,385
Investigar mejores prácticas de cuidado personal.,2026-02-21T00:00:00,,7,Investigar,[],False,True,386
Preparar temas para comentar en la cita médica.,2026-02-21T00:00:00,,10,Preparar,"[""Se agregó 'la' antes de 'cita médica' para mayor claridad.""]",False,True,387
Reflexionar sobre mi salud mental.,2026-02-21T00:00:00,,6,Reflexionar,[],False,True,388
Crear un checklist para mejorar el descanso.,2026-02-21T00:00:00,,10,Crear,[],False,True,389
Pagar el análisis clínico y registrarlo en el calendario.,2026-02-21T00:00:00,,15,Pagar,"[""Agregado artículo 'el' antes de 'análisis clínico'"", 'Reformulada la frase para mayor claridad']",False,True,390
Coordinar la preparación de comidas por llamada.,2026-02-21T00:00:00,,10,Coordinar,['Reformulación para mayor claridad y naturalidad.'],False,True,391
Agendar una cita de nutrición y guardar el registro.,2026-02-21T00:00:00,,14,Agendar,"[""Se agregó 'una' antes de 'cita' para mayor claridad."", ""Se cambió 'nutricion' a 'nutrición' para corregir la ortografía."", ""Se agregó 'el' antes de 'registro' para mayor claridad.""]",False,True,392
Asistir a la consulta dental,2026-02-21T00:00:00,,6,Asistir,[],False,True,393
Preparar la lista de preguntas para la consulta dental.,2026-02-21T00:00:00,,12,Preparar,"[""Se agregó 'la' antes de 'lista' para mayor claridad.""]",False,True,394
Anotar ideas para mejorar el entrenamiento.,2026-02-21T00:00:00,,10,Anotar,[],False,True,395
Planear snacks saludables para la semana,2026-02-21T00:00:00,,7,Planear,"[""Se agregó 'para' para mayor claridad.""]",False,True,396
Definir la fecha para la próxima cita médica.,2026-02-21T00:00:00,,10,Definir,['Reformulación para mayor claridad'],False,True,397
Revisar cuándo necesito un corte de uñas.,2026-02-21T00:00:00,,10,Revisar,"[""Se ajustó 'corte de unas' a 'corte de uñas' para mayor claridad.""]",False,True,398
Organizar un plan diario de hidratación.,2026-02-21T00:00:00,,8,Organizar,[],False,True,399
Recordar hidratarse durante el día.,2026-02-21T00:00:00,,6,Recordar,['Reformulación para mayor claridad y naturalidad.'],False,True,400
Revisar los detalles de la cita médica.,2026-02-21T00:00:00,,10,Revisar,"[""Se agregó el artículo 'la' antes de 'cita médica' para mayor claridad.""]",False,True,401
Evaluar la rutina de sueño actual.,2026-02-21T00:00:00,,7,Evaluar,[],False,True,402
Anotar ideas de snacks saludables.,2026-02-21T00:00:00,,6,Anotar,[],False,True,403
Planear caminatas para la semana,2026-02-21T00:00:00,,6,Planear,['Reformulación para mayor claridad'],False,True,404
Recordar salir en bici,2026-02-21T00:00:00,,5,Recordar,['Reformulación para mayor claridad'],False,True,405
Agendar un corte de uñas,2026-02-21T00:00:00,,6,Agendar,['Reformulación para mayor claridad y naturalidad'],False,True,406
Registrar los resultados de la consulta dental.,2026-02-21T00:00:00,,10,Registrar,"[""Se agregó 'los' antes de 'resultados' para mayor claridad."", ""Se añadió 'de la' antes de 'consulta dental' para completar la acción.""]",False,True,407
Reflexionar sobre cómo me sentí en yoga.,2026-02-21T00:00:00,,10,Reflexionar,"[""Corregir 'como' a 'cómo' para mayor claridad.""]",False,True,408
Anotar ideas para fortalecer la salud mental.,2026-02-21T00:00:00,,10,Anotar,[],False,True,409
Asistir a la cita de vacunación,2026-02-21T00:00:00,,7,Asistir,[],False,True,410
Anotar la rutina de estiramientos.,2026-02-21T00:00:00,,7,Anotar,[],False,True,411
Comprar productos de cuidado personal.,2026-02-21T00:00:00,,5,Comprar,[],False,True,412
Registrar los snacks en Notion,2026-02-21T00:00:00,,7,Registrar,"[""Se agregó 'los' para mayor claridad"", ""Se especificó 'en Notion'""]",False,True,413
Asistir a la cita médica programada.,2026-02-21T00:00:00,,8,Asistir,"[""Se agregó el artículo 'la' antes de 'cita médica' para mayor claridad.""]",False,True,414
Cuidar mi salud mental.,2026-02-21T00:00:00,,5,Cuidar,[],False,True,415
Ir a la farmacia,2026-02-21T00:00:00,farmacia,5,Ir,[],False,True,416
Actualizar el registro de snacks en Notion.,2026-02-21T00:00:00,Notion,8,Actualizar,"[""Se agregó 'el' antes de 'registro'"", ""Se cambió 'notion' a 'Notion' para respetar la capitalización correcta.""]",False,True,417
Definir prioridades para la cita médica.,2026-02-21T00:00:00,,8,Definir,[],False,True,418
Agendar una caminata.,2026-02-21T00:00:00,,5,Agendar,"[""Reformulación de 'agendar caminata esta semana' a 'Agendar una caminata.'""]",False,True,419
Ir a la consulta con el dentista,2026-02-21T00:00:00,,8,Ir,[],False,True,420
Crear un checklist para la salida en bici.,2026-02-21T00:00:00,,10,Crear,[],False,True,421
Planear la preparación de comidas para la semana,2026-02-21T00:00:00,,10,Planear,['Reformulación para mayor claridad y naturalidad'],False,True,422
Registrar las vacunas en Notion,2026-02-21T00:00:00,Notion,6,Registrar,"[""Se agregó 'las' antes de 'vacunas' para mayor claridad.""]",False,True,423
Anotar dudas sobre vitaminas,2026-02-21T00:00:00,,5,Anotar,[],False,True,424
Revisar la información sobre vitaminas.,2026-02-21T00:00:00,,7,Revisar,[],False,True,425
Anotar observaciones sobre vitaminas.,2026-02-21T00:00:00,,6,Anotar,[],False,True,426
Revisar las vacunas pendientes.,2026-02-21T00:00:00,,5,Revisar,['Se ajustó la frase para que sea clara y ejecutable.'],False,True,427
Investigar información sobre vacunas.,2026-02-21T00:00:00,,6,Investigar,[],False,True,428
Confirmar asistencia a la clase de yoga.,2026-02-21T00:00:00,,8,Confirmar,['Reformulación para mayor claridad y naturalidad.'],False,True,429
Dar seguimiento con el nutriologo,2026-02-21T00:00:00,,7,Dar,[],False,True,430
Realizar una sesión de meditación.,2026-02-21T00:00:00,,7,Realizar,[],False,True,431
Anotar dudas sobre la preparación de comidas.,2026-02-21T00:00:00,,10,Anotar,"[""Se agregó 'la' antes de 'preparación' para mayor claridad.""]",False,True,432
Registrar notas sobre snacks.,2026-02-21T00:00:00,,5,Registrar,[],False,True,433
Registrar y etiquetar la cita médica antes de las 18:00.,2026-02-21T18:00:00,,10,Registrar,"['Se ajustó la hora a formato de 24 horas.', ""Se agregó el artículo 'la' antes de 'cita médica'.""]",False,False,434
Revisar el avance de mi plan de hábitos de salud.,2026-02-21T00:00:00,,10,Revisar,[],False,True,435
Revisar la calidad de los snacks de la semana.,2026-02-21T00:00:00,,10,Revisar,[],False,True,436
Organizar la rutina de skincare y registrar la evidencia.,2026-02-21T00:00:00,,12,Organizar,"[""Se agregó 'la' antes de 'rutina' para mayor claridad."", ""Se agregó 'la' antes de 'evidencia' para mayor claridad.""]",False,True,437
Revisar los productos de cuidado personal pendientes.,2026-02-21T00:00:00,,8,Revisar,"[""Se agregó el artículo 'los' para mayor claridad.""]",False,True,438
Confirmar el cumplimiento de la rutina de skincare.,2026-02-21T00:00:00,,10,Confirmar,[],False,True,439
Salir en bici,2026-02-21T00:00:00,,3,Salir,['Reformulación para mayor claridad'],False,True,440
Anotar ideas de snacks saludables.,2026-02-21T00:00:00,,6,Anotar,[],False,True,441
Revisar o comprar la ropa deportiva necesaria.,2026-02-21T00:00:00,,10,Revisar,"[""Se agregó 'la' para mayor claridad."", 'Se mantuvo la estructura de la acción.']",False,True,442
Preparar vitaminas y dar seguimiento al consumo.,2026-02-21T00:00:00,,10,Preparar,"[""Se ajustó 'dar seguimiento a consumo' a 'dar seguimiento al consumo' para mayor claridad.""]",False,True,443
Registrar el descanso en el calendario,2026-02-21T00:00:00,,8,Registrar,[],False,True,444
Registrar análisis clínicos y dar seguimiento.,2026-02-21T00:00:00,,8,Registrar,[],False,True,445
Registrar las compras en la farmacia y guardar la evidencia.,2026-02-21T00:00:00,farmacia,15,Registrar,"[""Se agregó 'las' antes de 'compras' para mayor claridad."", ""Se agregó 'la' antes de 'evidencia' para mayor claridad.""]",False,True,446
Reflexionar sobre mi rutina de sueño.,2026-02-21T00:00:00,,7,Reflexionar,[],False,True,447
Asistir a un chequeo médico.,2026-02-21T00:00:00,,6,Asistir,['Reformulación para mayor claridad y naturalidad.'],False,True,448
Revisar suplementos con el especialista,2026-02-21T00:00:00,,7,Revisar,"[""Se agregó 'el' antes de 'especialista' para mayor claridad.""]",False,True,449
Confirmar la recepción de resultados de análisis clínicos.,2026-02-21T00:00:00,,10,Confirmar,[],False,True,450
Evaluar el progreso en yoga.,2026-02-21T00:00:00,,6,Evaluar,[],False,True,451
